シフト名(マニュアル名),リンク,備考欄
音響機材の設置手伝い,,
参加団体窓口対応,,
講義棟準備,,
衛生対応,,
国際対応,,
参加団体緊急対応,,
総務緊急対応,,
物品窓口,,
物品最終確認,,
物品窓口補佐,,
検温所設営確認,,
屋内巡回,,
